Class,Card,Level,Initiative
Brute,Sweeping Blow,1,64
Brute,Trample,1,72
Brute,Provoking Roar,1,10
Brute,Shield Bash,1,15
Brute,Grab and Go,1,87
Brute,Eye for an Eye,1,18
Brute,Warding Strength,1,32
Brute,Overwhelming Assault,1,61
Brute,Spare Dagger,1,27
Brute,Leaping Cleave,1,54
Brute,Skewer,1,35
Brute,Wall of Doom,1,20
Brute,Balanced Measure,1,77
Brute,Juggernaut,2,34
Brute,Fatal Advance,2,40
Brute,Hook and Chain,3,42
Brute,Brute Force,3,51
Brute,Unstoppable Charge,4,86
Brute,Devastating Hack,4,27
Brute,Skirmishing Maneuver,5,29
Brute,Whirlwind,5,28
Brute,Immovable Phalanx,6,17
Brute,Quietus,6,57
Brute,Crippling Offensive,7,33
Brute,Defensive Tactics,7,26
Brute,Frenzied Onslaught,8,41
Brute,Selfish Retribution,8,12
Brute,Face Your End,9,67
Brute,King of the Hill,9,39
Tinkerer,Reinvigorating Elixer,1,37
Tinkerer,Harmless Contraption,1,74
Tinkerer,Potent Potables,1,46
Tinkerer,Volatile Concoction,1,76
Tinkerer,Reviving Shock,1,34
Tinkerer,Proximity Mine,1,64
Tinkerer,Hook Gun,1,72
Tinkerer,Toxic Bolt,1,18
Tinkerer,Ink Bomb,1,74
Tinkerer,Enhancement Field,1,61
Tinkerer,Restorative Mist,1,17
Tinkerer,Energizing Tonic,1,16
Tinkerer,Net Shooter,1,19
Tinkerer,Flamethrower,1,47
Tinkerer,Stun Shot,1,20
Tinkerer,Stamina Booster,2,48
Tinkerer,Disorienting Flash,2,73
Tinkerer,Tinkerer's Tools,3,26
Tinkerer,Crank Bow,3,66
Tinkerer,Micro Bots,4,22
Tinkerer,Dangerous Contraption,4,84
Tinkerer,Noxious Vials,5,75
Tinkerer,Disintigration Beam,5,36
Tinkerer,Auto Turret,6,34
Tinkerer,Gas Cannister,6,71
Tinkerer,Curative Aerosol,7,21
Tinkerer,Murderous Contraption,7,94
Tinkerer,Harsh Stimulants,8,27
Tinkerer,Jet Propulsion,8,38
Tinkerer,Lethal Injection,9,85
Tinkerer,Chimeric Formula,9,43
Spellweaver,Freezing Nova,1,21
Spellweaver,Ride The Wind,1,83
Spellweaver,Mana Bolt,1,7
Spellweaver,Reviving Ether,1,80
Spellweaver,Flame Strike,1,36
Spellweaver,Frost Armor,1,20
Spellweaver,Aid from the Ether,1,91
Spellweaver,Hardened Spikes,1,26
Spellweaver,Fire Orbs,1,69
Spellweaver,Impaling Eruption,1,70
Spellweaver,Crackling Air,1,25
Spellweaver,Icy Blast,2,66
Spellweaver,Flashing Burst,2,26
Spellweaver,Cold Fire,3,67
Spellweaver,Elemental Aid,3,84
Spellweaver,Spirit of Doom,4,81
Spellweaver,Forked Beam,4,20
Spellweaver,Chromatic Explosion,5,71
Spellweaver,Engulfed in Flames,5,44
Spellweaver,Frozen Night,6,46
Spellweaver,Living Torch,6,96
Spellweaver,Twin Restoration,7,75
Spellweaver,Stone Fists,7,62
Spellweaver,Zephyr Wings,8,85
Spellweaver,Cold Front,8,61
Spellweaver,Black Hole,9,41
Spellweaver,Inferno,9,19
Scoundrel,Swift Bow,1,36
Scoundrel,Trickster's Reversal,1,9
Scoundrel,Quick Hands,1,64
Scoundrel,Backstab,1,6
Scoundrel,Flanking Strike,1,4
Scoundrel,Sinister Opportunity,1,93
Scoundrel,Special Mixture,1,33
Scoundrel,Smoke Bomb,1,12
Scoundrel,Throwing Knives,1,10
Scoundrel,Single Out,1,86
Scoundrel,Thief's Knack,1,23
Scoundrel,Venom Shiv,1,60
Scoundrel,Flintlock,2,90
Scoundrel,Open Wound,2,11
Scoundrel,Duelist's Advance,3,16
Scoundrel,Hidden Daggers,3,85
Scoundrel,Gruesome Advantage,4,62
Scoundrel,Flurry of Blades,4,3
Scoundrel,Visage of the Inevitable,5,88
Scoundrel,Cull of the Weak,5,16
Scoundrel,Crippling Poison,6,30
Scoundrel,Burning Oil,6,95
Scoundrel,Stick to the Shadows,7,26
Scoundrel,Spring the Trap,7,13
Scoundrel,Pain's End,8,38
Scoundrel,Stiletto Storm,8,80
Scoundrel,Watch it Burn,9,98
Scoundrel,Long Con,9,2
Cragheart,Crater,1,61
Cragheart,Dirt Tornado,1,82
Cragheart,Earthen Clod,1,38
Cragheart,Forceful Storm,1,53
Cragheart,Massive Boulder,1,87
Cragheart,Avalanche,1,75
Cragheart,Crushing Grasp,1,35
Cragheart,Heaving Swing,1,57
Cragheart,Opposing Strike,1,46
Cragheart,Unstable Upheaval,1,13
Cragheart,Backup Ammunition,1,77
Cragheart,Nature's Lift,1,64
Cragheart,Rock Tunnel,1,41
Cragheart,Rumbling Advance,1,29
Cragheart,Explosive Punch,2,28
Cragheart,Sentient Growth,2,78
Cragheart,Blunt Force,3,21
Cragheart,Clear the Way,3,43
Cragheart,Kinetic Assault,4,19
Cragheart,Rock Slide,4,81
Cragheart,Petrify,5,47
Cragheart,Stone Pummel,5,32
Cragheart,Cataclysm,6,26
Cragheart,Dig Pit,6,78
Cragheart,Brutal Momentum,7,52
Cragheart,Meteor,7,23
Cragheart,Rocky End,8,37
Cragheart,Lumbering Bash,8,85
Cragheart,Pulverize,9,31
Cragheart,Blind Destruction,9,74
Mindthief,The Mind's Weakness,1,75
Mindthief,Submissive Affliction,1,48
Mindthief,Gnawing Horde,1,82
Mindthief,Scurry,1,20
Mindthief,Fearsome Blade,1,27
Mindthief,Parasitic Influence,1,71
Mindthief,Withering Claw,1,77
Mindthief,Possession,1,51
Mindthief,Feedback Loop,1,79
Mindthief,Into the Night,1,14
Mindthief,Empathetic Assault,1,11
Mindthief,Perverse Edge,1,8
Mindthief,Frigid Apparition,1,29
Mindthief,Wretched Creature,2,84
Mindthief,Hostile Takeover,2,9
Mindthief,Brain Leech,3,16
Mindthief,Silent Scream,3,73
Mindthief,Pilfer,4,68
Mindthief,Cranium Overload,4,5
Mindthief,Frozen Mind,5,81
Mindthief,Mass Hysteria,5,12
Mindthief,Dark Frenzy,6,10
Mindthief,Corrupting Embrace,6,39
Mindthief,Vicious Blood,7,83
Mindthief,Psychic Projection,7,92
Mindthief,Shared Nightmare,8,7
Mindthief,Domination,8,13
Mindthief,Many as One,9,91
Mindthief,Phantasmal Killer,9,67
Soothsinger,Power Ballad,1,19
Soothsinger,Defensive Ditty,1,9
Soothsinger,Song of Speed,1,5
Soothsinger,Turning the Outcome,1,78
Soothsinger,Call to Action,1,85
Soothsinger,Warding Dagger,1,56
Soothsinger,Throw Voice,1,44
Soothsinger,Singing Arrow,1,89
Soothsinger,Marching Beat,1,32
Soothsinger,Wistful Wounding,1,16
Soothsinger,Unending Chant,1,51
Soothsinger,Nimble Knife,1,27
Soothsinger,Soothing Lullaby,2,11
Soothsinger,Change Tempo,2,91
Soothsinger,Echoing Aria,3,8
Soothsinger,Crippling Chorus,3,62
Soothsinger,Disorienting Dirge,4,14
Soothsinger,Inspiring Anthem,4,50
Soothsinger,Melody and Harmony,5,78
Soothsinger,Mobilizing Measure,5,6
Soothsinger,Pull the Strings,6,20
Soothsinger,Provoke Terror,6,60
Soothsinger,Nightmare Serenade,7,13
Soothsinger,Booming Proclamation,7,65
Soothsinger,Tranquil Trill,8,10
Soothsinger,Commanding Presence,8,59
Soothsinger,Captivating Performance,9,25
Soothsinger,Shadow Puppets,9,52
Summoner,Unending Dominance,1,98
Summoner,Living Night,1,82
Summoner,Forged Ferocity,1,96
Summoner,Wild Animation,1,92
Summoner,Mighty Bond,1,52
Summoner,Unwavering Hand,1,31
Summoner,Bonded Might,1,61
Summoner,Volatile Flame,1,94
Summoner,Biting Wind,1,25
Summoner,Black Fire,1,24
Summoner,Ethereal Vines,1,30
Summoner,Leathery Wings,1,90
Summoner,Grasping the Void,2,62
Summoner,Earthen Steed,2,13
Summoner,Tear the Fabric,3,41
Summoner,Oozing Manifestation,3,86
Summoner,Divided Mind,4,55
Summoner,Living Mountain,4,88
Summoner,Conjured Aid,5,81
Summoner,Strength in Number,5,45
Summoner,Endless Spikes,6,97
Summoner,Inexorable Momentum,6,32
Summoner,Negative Energy,7,95
Summoner,Staff of Visions,7,27
Summoner,Otherworldly Rage,8,35
Summoner,Intervening Apparitions,8,68
Summoner,Interplanar Mastery,9,22
Summoner,Horned Majesty,9,80
